"title","release","company","type","trailer","details"
"Heroes of the Storm",2015-06-02,"Blizzard","game","https://www.youtube.com/embed/0ecv0bT9DEo",""
"StarCraft II: Legacy of the Void",2015-11-10,"Blizzard","game","https://www.youtube.com/embed/8UyMAPr-G44",""
"Overwatch",2016-05-24,"Blizzard","game","https://www.youtube.com/embed/dushZybUYnM",""
"World of Warcraft: Legion",2016-08-30,"Blizzard","game","https://www.youtube.com/embed/eYNCCu0y-Is",""
"StarCraft: Remastered",2017-08-14,"Blizzard","game","https://www.youtube.com/embed/c24mzfsHXAo",""
"World of Warcraft: Battle of Azeroth",2018-08-14,"Blizzard","game","https://www.youtube.com/embed/jSJr3dXZfcg",""
"World of Warcraft: Classic",2019-08-27,"Blizzard","game","https://www.youtube.com/embed/vlVSJ0AvZe0",""
"Warcraft III: Reforged",2020-01-29,"Blizzard","game","https://www.youtube.com/embed/sJWuMwz31qE",""
"World of Warcraft: Shadowlands",2020-11-24,"Blizzard","game","https://www.youtube.com/embed/s4gBChg6AII",""
"Destiny 2",2017-10-24,"Activision","game","https://www.youtube.com/embed/hdWkpbPTpmE",""
"Call of Duty: Blacks Ops 4",2018-10-12,"Activision","game","https://www.youtube.com/embed/6kqe2ICmTxc",""
"Call of Duty: Modern Warfare",2019-10-25,"Activision","game","https://www.youtube.com/embed/bH1lHCirCGI",""
"Call of Duty: Black Ops Cold War",2020-11-13,"Activision","game","https://www.youtube.com/embed/aTS9n_m7TW0",""
"Patch 6.2: Fury of Hellfire",2015-06-22,"Blizzard","raid-patch","https://www.youtube.com/embed/QUtoLaQfC0A","https://wowpedia.fandom.com/wiki/Patch_6.2.0"
"Patch 7.1: Return to Karazhan",2016-10-25,"Blizzard","content-patch","https://www.youtube.com/embed/YxiofX97_G0","https://wowpedia.fandom.com/wiki/Patch_7.1.0"
"Patch 7.1.5",2017-01-10,"Blizzard","minor-patch","","https://wowpedia.fandom.com/wiki/Patch_7.1.5"
"Patch 7.2: The Tomb of Sargeras",2017-03-28,"Blizzard","content-patch","https://www.youtube.com/embed/ixtWdYkJbdE","https://wowpedia.fandom.com/wiki/Patch_7.2.0"
"Patch 7.2.5",2017-06-13,"Blizzard","raid-patch","https://www.youtube.com/embed/ixtWdYkJbdE","https://wowpedia.fandom.com/wiki/Patch_7.2.5"
"Patch 7.3: Shadows of Argus",2017-08-29,"Blizzard","content-patch","https://www.youtube.com/embed/0N2XcaMsmOU"
"Patch 7.3.2",2017-10-24,"Blizzard","raid-patch","","https://wowpedia.fandom.com/wiki/Patch_7.3.2"
"Patch 7.3.5",2018-01-16,"Blizzard","minor-patch","","https://wowpedia.fandom.com/wiki/Patch_7.3.5"
"Patch 8.1.0: Tides of Vengeance",2018-12-11,"Blizzard","content-patch","https://www.youtube.com/embed/fGANQad7Q1U"
"Patch 8.1.5",2019-03-12,"Blizzard","minor-patch","","https://wowpedia.fandom.com/wiki/Patch_8.1.5"
"Patch 8.2.0: Rise of Azshara",2018-06-25,"Blizzard","content-patch","https://www.youtube.com/embed/gKsOfD52yvU"
"Patch 8.2.5",2018-09-24,"Blizzard","minor-patch","","https://wowpedia.fandom.com/wiki/Patch_8.2.5"
"Patch 8.3.0: Visions of N'Zoth",2020-01-14,"Blizzard","content-patch","https://www.youtube.com/embed/JB7DKeye3pE"
