date,Americas,China,EU,Korea,Taiwan
2015-05-06,24585.625,64066.69117647059,38493.37142857143,123523.0,89091.64705882352
2015-05-07,23878.527777777777,64988.63076923077,38659.305555555555,153800.05555555556,300741.375
2015-05-08,21614.333333333332,65666.89855072464,39377.708333333336,145470.08333333334,256387.94444444444
2015-05-09,22524.125,70856.13043478261,38797.041666666664,146903.125,261383.45833333334
2015-05-10,22456.944444444445,70381.82608695653,39073.88888888889,161588.90277777778,274396.2916666667
2015-05-11,22766.0,72800.70731707317,41539.24096385542,149083.6626506024,245584.10843373495
2015-05-12,22299.326530612245,69699.46616541353,39684.69629629629,168919.9492753623,283890.384057971
2015-05-13,23648.344,72272.56481481482,41045.458333333336,147222.19130434783,257154.4
2015-05-14,22815.876811594204,71934.64655172414,39554.92028985507,155714.52985074627,248959.40298507462
2015-05-15,22943.594827586207,72004.33846153846,39313.282608695656,158523.1897810219,252452.01449275363
2015-05-16,22225.125,72080.10071942446,39579.46715328467,155216.52083333334,237070.29166666666
2015-05-17,22210.152777777777,72482.8345323741,39304.125,160482.23611111112,227820.44444444444
2015-05-18,22523.156028368794,73371.86666666667,39962.475177304965,162132.94326241134,224340.43971631204
2015-05-19,22873.42361111111,73815.65277777778,40057.09154929577,163610.70833333334,226154.94444444444
2015-05-20,22800.333333333332,74473.97887323944,40445.04861111111,167618.6993006993,225515.1118881119
2015-05-21,22808.166666666668,75396.5693430657,40709.77777777778,167589.04895104896,228955.91666666666
2015-05-22,22540.555555555555,76277.02112676056,40681.78472222222,166659.20138888888,224313.23611111112
2015-05-23,22339.819444444445,76721.9923076923,40807.34722222222,169137.53472222222,221608.73611111112
2015-05-24,22384.475524475525,77284.78461538462,40858.33566433567,168911.1489361702,217817.45454545456
2015-05-25,22439.972222222223,78504.79166666667,42069.11111111111,169140.17361111112,223455.05555555556
2015-05-26,22699.847222222223,79542.83333333333,43011.15277777778,171416.49305555556,223772.73611111112
2015-05-27,22740.972222222223,80531.29166666667,42782.631944444445,171512.40972222222,224378.13888888888
2015-05-28,22768.75,82137.32867132867,42412.88888888889,171169.15972222222,225055.40277777778
2015-05-29,22666.62937062937,82676.61971830986,41857.56643356643,169667.85314685316,225300.16783216782
2015-05-30,22305.416666666668,82941.90277777778,41495.131944444445,173454.50694444444,216633.27083333334
2015-05-31,22389.601449275364,83119.80434782608,41693.30434782609,167007.04347826086,214470.34057971014
2015-06-01,22774.456521739132,84367.87591240875,41984.19117647059,167455.11029411765,213859.21739130435
2015-06-02,22909.676056338027,85656.26056338029,42307.781690140844,168501.3076923077,203694.99295774646
2015-06-03,23039.590277777777,87352.76388888889,42556.11111111111,167763.52083333334,205021.90277777778
2015-06-04,23046.819444444445,89426.0,42695.65277777778,167295.5,205616.09722222222
2015-06-05,23057.104895104894,89623.13286713287,42939.39160839161,168413.45070422534,201727.93006993007
2015-06-06,23133.090277777777,89934.84722222222,42930.34722222222,167003.43055555556,207595.23611111112
2015-06-07,23153.534722222223,90113.51388888889,43792.40277777778,169278.91666666666,210232.29166666666
2015-06-08,23570.840277777777,89951.34722222222,44239.180555555555,169862.44444444444,201844.77777777778
2015-06-09,23783.04861111111,90159.93055555556,44722.72222222222,170905.94405594407,206018.0
2015-06-10,23980.180555555555,90317.98611111111,45321.424460431655,172125.56944444444,206761.31944444444
2015-06-11,24274.972222222223,90470.41666666667,45729.48611111111,174285.13888888888,207312.36111111112
2015-06-12,24003.930555555555,90371.41666666667,46405.67361111111,172695.03759398498,205073.42537313432
2015-06-13,23964.333333333332,90795.94117647059,45917.72222222222,169555.88235294117,200035.82352941178
2015-06-14,24043.46153846154,90716.44827586207,47505.68965517241,171523.55172413794,209303.8620689655
2015-06-15,24437.055555555555,90258.47222222222,47718.0,175227.59722222222,208302.54166666666
2015-06-16,24763.944444444445,90239.54166666667,48113.791666666664,174603.3076923077,208097.93055555556
2015-06-17,25104.86111111111,90152.56643356643,48860.32638888889,176822.56944444444,207268.5
2015-06-18,25454.472222222223,90520.59722222222,49553.04895104895,177294.23611111112,210029.69444444444
2015-06-19,25417.212765957447,90213.02127659574,50216.51063829787,179741.74285714285,211132.42857142858
2015-06-20,25441.0,90107.68,49931.68,175561.76,215441.85714285713
2015-06-21,25289.625,90168.58333333333,50520.104166666664,181047.27083333334,219398.72222222222
2015-06-22,25998.13768115942,90191.7299270073,51984.63043478261,183636.27737226276,219196.12408759125
2015-06-23,26987.120879120877,90305.20930232559,53025.686131386865,186702.06976744186,223968.06976744186
2015-06-24,25851.290076335878,90043.3090909091,55468.92592592593,182616.87272727274,247473.47272727272
2015-06-25,25664.485714285714,90043.3090909091,51294.706293706295,182616.87272727274,247473.47272727272
2015-06-26,25251.23943661972,90306.67605633802,52703.88888888889,193053.6338028169,232919.17605633804
2015-06-27,25160.028169014084,90000.23239436619,50017.72,191903.02816901408,228870.68309859154
2015-06-28,24897.61111111111,89476.16666666667,49097.416666666664,190343.52777777778,225127.875
2015-06-29,25067.541666666668,89357.68055555556,49168.916666666664,190288.01388888888,222036.02797202798
2015-06-30,25197.097826086956,88879.81954887218,48365.05263157895,178444.3656716418,221200.35820895524
2015-07-01,24863.032,88828.42105263157,48148.87037037037,178169.96666666667,221510.3
2015-07-02,24922.757575757576,88212.25,48039.419117647056,172838.37878787878,218540.7803030303
2015-07-03,24579.75,88335.6875,47589.0,170653.65277777778,210392.45138888888
2015-07-04,24262.680555555555,87618.92753623189,47451.194444444445,168670.34722222222,211581.42361111112
2015-07-05,24348.777777777777,86624.15972222222,47597.36111111111,169859.0,206078.50694444444
2015-07-06,24703.805555555555,85785.91666666667,47561.29861111111,170603.09722222222,209623.5
2015-07-07,24871.385185185187,84744.66666666667,47440.91428571429,172271.54954954956,206976.8108108108
2015-07-08,25021.574468085106,83569.2735042735,47476.02419354839,171250.88888888888,202291.9568965517
2015-07-09,24930.86111111111,83475.79861111111,47210.59722222222,170845.65034965036,197374.3125
2015-07-10,24771.875,83011.61805555556,47306.25,170125.33333333334,194871.61111111112
2015-07-11,24677.5,82256.56944444444,46960.555555555555,169459.79166666666,193972.64583333334
2015-07-12,24624.875,81146.95138888889,47430.569444444445,171362.72222222222,192676.44444444444
2015-07-13,25142.395833333332,80358.80555555556,47137.65277777778,172055.68055555556,189220.07638888888
2015-07-14,25099.097222222223,79071.42361111111,47052.90277777778,171643.23611111112,190498.00694444444
2015-07-15,25076.3115942029,79056.80434782608,47040.546762589925,171410.0652173913,191159.92753623187
2015-07-16,25118.063829787236,79169.13475177305,46955.58928571428,173449.0709219858,192476.39007092197
2015-07-17,24780.04861111111,79336.29861111111,47063.756944444445,170825.84722222222,187185.61111111112
2015-07-18,24651.652777777777,79531.79166666667,46756.88888888889,170745.58333333334,188945.55555555556
2015-07-19,24803.270833333332,79463.58741258741,46849.243055555555,170845.31944444444,184016.84722222222
2015-07-20,25098.909722222223,79274.21527777778,47066.069444444445,172316.81944444444,185145.13888888888
2015-07-21,25131.363636363636,79343.1875,47211.02777777778,172969.20833333334,189151.4375
2015-07-22,25312.847222222223,79300.28671328671,47494.51748251748,172933.13888888888,189508.02777777778
2015-07-23,25255.152777777777,79415.58333333333,47343.11111111111,173863.18055555556,189027.82638888888
2015-07-24,25120.222222222223,79438.52777777778,47102.430555555555,172947.97902097902,190001.36805555556
2015-07-25,25053.069444444445,79555.53472222222,46890.73611111111,172683.06944444444,190164.48611111112
2015-07-26,25127.902777777777,79537.07638888889,46907.625,172035.31944444444,189378.47916666666
2015-07-27,25363.680555555555,79476.15277777778,47139.13888888889,174823.09722222222,190581.4084507042
2015-07-28,25449.296296296296,79493.81553398058,46928.96323529412,174871.81553398058,188752.6568627451
2015-07-29,25756.590277777777,79295.04166666667,46935.72727272727,173360.25,189712.14583333334
2015-07-30,25736.875,79419.67361111111,47106.52777777778,180951.29166666666,188606.73611111112
2015-07-31,25459.618055555555,79426.67361111111,46511.375,175420.11111111112,188417.79562043794
2015-08-01,25310.5625,79694.45833333333,46545.979166666664,170492.52777777778,187423.70138888888
2015-08-02,25460.8125,79589.66433566433,46693.23611111111,171701.40277777778,186315.58333333334
2015-08-03,25842.81818181818,79725.87387387388,46794.76223776224,170628.2097902098,186776.4055944056
2015-08-04,26164.8984375,79515.1119402985,47184.6796875,174112.16814159293,188958.76
2015-08-05,27605.069444444445,79538.40972222222,47158.125,171235.0,185522.81944444444
2015-08-06,27724.465277777777,80004.63194444444,47716.375,171663.34722222222,186160.98611111112
2015-08-07,27092.86111111111,80217.39583333333,47466.15972222222,171702.40277777778,187716.9014084507
2015-08-08,26863.57638888889,79801.05555555556,47511.416666666664,170690.79166666666,185344.02797202798
2015-08-09,26919.895833333332,79651.77777777778,47571.86111111111,172166.44444444444,185094.11111111112
2015-08-10,27221.465277777777,79685.77083333333,47450.17361111111,170858.0,184792.27272727274
2015-08-11,27254.347222222223,79504.22222222222,47494.02777777778,174006.23611111112,184199.59722222222
2015-08-12,27393.375,79462.9375,48322.51968503937,172036.625,185045.61111111112
2015-08-13,27056.86111111111,79510.78472222222,47994.944444444445,171331.06944444444,182908.09722222222
2015-08-14,26781.416666666668,79385.93055555556,47501.541666666664,172458.70833333334,183485.83333333334
2015-08-15,26459.472222222223,79480.3125,47034.375,171759.33333333334,182596.95833333334
2015-08-16,26557.097222222223,79450.47916666667,47651.98611111111,173280.26388888888,182331.06944444444
